nome,link,pdf_link
ADI 2137,https://jurisprudencia.stf.jus.br/pages/search/sjur229893/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=3763725
ADI 3666,https://jurisprudencia.stf.jus.br/pages/search/sjur397089/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748888142
ADI 6007,https://jurisprudencia.stf.jus.br/pages/search/sjur410742/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833034
ADI 4944,https://jurisprudencia.stf.jus.br/pages/search/sjur410318/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738482
ADI 5024,https://jurisprudencia.stf.jus.br/pages/search/sjur392031/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748375833
ADI 4019,https://jurisprudencia.stf.jus.br/pages/search/sjur397505/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749076077
ADI 5800,https://jurisprudencia.stf.jus.br/pages/search/sjur404267/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749883225
ADI 5111,https://jurisprudencia.stf.jus.br/pages/search/sjur395694/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748774422
ADI 4272,https://jurisprudencia.stf.jus.br/pages/search/sjur410732/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833024
ADI 4962,https://jurisprudencia.stf.jus.br/pages/search/sjur384036/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14713342
ADI 5610,https://jurisprudencia.stf.jus.br/pages/search/sjur415093/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751418556
ADI 2873,https://jurisprudencia.stf.jus.br/pages/search/sjur4779/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2873&classe=ADI
ADI 422,https://jurisprudencia.stf.jus.br/pages/search/sjur410304/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738448
ADI 1301,https://jurisprudencia.stf.jus.br/pages/search/sjur344723/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10684487
ADI 1623,https://jurisprudencia.stf.jus.br/pages/search/sjur191072/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1623&classe=ADI
ADI 5455,https://jurisprudencia.stf.jus.br/pages/search/sjur416169/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751544355
ADI 4601,https://jurisprudencia.stf.jus.br/pages/search/sjur393926/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748604505
ADI 6083,https://jurisprudencia.stf.jus.br/pages/search/sjur417422/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751676424
ADI 5432,https://jurisprudencia.stf.jus.br/pages/search/sjur395690/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748774138
ADI 4008,https://jurisprudencia.stf.jus.br/pages/search/sjur379138/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14217420
ADI 3852,https://jurisprudencia.stf.jus.br/pages/search/sjur333125/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=9975878
ADI 4058,https://jurisprudencia.stf.jus.br/pages/search/sjur398264/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749148971
ADI 4062,https://jurisprudencia.stf.jus.br/pages/search/sjur417329/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751630956
ADI 2994,https://jurisprudencia.stf.jus.br/pages/search/sjur96142/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2994&classe=ADI
