nome,link,pdf_link
ADI 6079 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur420076/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752157022
ADI 3609,https://jurisprudencia.stf.jus.br/pages/search/sjur282444/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7026115
ADI 4648,https://jurisprudencia.stf.jus.br/pages/search/sjur410734/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833026
ADI 3121,https://jurisprudencia.stf.jus.br/pages/search/sjur191073/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3121&classe=ADI
ADI 3165,https://jurisprudencia.stf.jus.br/pages/search/sjur347765/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10923825
ADI 3708,https://jurisprudencia.stf.jus.br/pages/search/sjur229897/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=3763847
ADI 3552 ED,https://jurisprudencia.stf.jus.br/pages/search/sjur397944/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749116433
ADI 5830,https://jurisprudencia.stf.jus.br/pages/search/sjur415853/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751490344
ADI 3655,https://jurisprudencia.stf.jus.br/pages/search/sjur345458/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10737133
ADI 3785,https://jurisprudencia.stf.jus.br/pages/search/sjur395924/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748786683
ADI 2609,https://jurisprudencia.stf.jus.br/pages/search/sjur333121/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=9975891
ADI 4603,https://jurisprudencia.stf.jus.br/pages/search/sjur353876/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=11492807
ADI 4704,https://jurisprudencia.stf.jus.br/pages/search/sjur401282/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749520355
ADI 951 ED,https://jurisprudencia.stf.jus.br/pages/search/sjur369555/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13065489
ADI 5922 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur420088/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752170243
ADI 2137,https://jurisprudencia.stf.jus.br/pages/search/sjur229893/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=3763725
ADI 5860 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur403275/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749755087
ADI 5957 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur391262/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748266769
ADI 3666,https://jurisprudencia.stf.jus.br/pages/search/sjur397089/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748888142
ADI 6007,https://jurisprudencia.stf.jus.br/pages/search/sjur410742/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833034
ADI 4944,https://jurisprudencia.stf.jus.br/pages/search/sjur410318/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738482
